la_code,la_name,lts_count,adults_18plus,adults_65plus,share_65plus,assess_count,region,imd_score,vacancy_rate,ascof_1a,lts_rate,assess_rate,observed_expected
E09000002,Barking and Dagenham,2640,166282,20012,0.12034976726284265,1190.0,London,32.768,13.79234541835856,18.8,1587.6643292719598,715.6517241794061,0.9401881129792158
E09000003,Barnet,4650,311199,60658,0.19491707878238684,2305.0,London,16.148,7.4851670183689105,18.0,1494.220739783868,740.683614021896,1.0896397621974279
E08000016,Barnsley,3135,199971,50538,0.2527266453635777,3685.0,Yorkshire and The Humber,29.933,4.77387821610973,19.7,1567.7273204614667,1842.7672012441803,0.9553374437780768
E06000022,Bath and North East Somerset,1875,163427,39084,0.23915264919505344,925.0,South West,11.745,6.8808123634043,19.2,1147.3012415329167,566.0019458229057,0.9659324432661155
E06000055,Bedford,2215,150493,33389,0.22186413986032574,1480.0,East of England,18.932,6.494578899272139,19.4,1471.8292545168213,983.4344454559349,1.0485203827179082
E09000004,Bexley,3005,197710,42451,0.21471346922259876,2220.0,London,16.273,10.36912447604269,18.3,1519.902888068383,1122.856709321734,1.0741225610605825
E08000025,Birmingham,12720,890759,154406,0.1733420599735731,20930.0,West Midlands,38.067,4.94576060436232,18.6,1427.9956755980013,2349.68156370017,0.8329256306263703
E06000008,Blackburn with Darwen,2565,120736,23175,0.19194772064670024,2815.0,North West,36.013,7.854207514789451,19.0,2124.469917837265,2331.5332626557115,1.1332801086969562
E06000009,Blackpool,2790,115268,29985,0.2601329076586737,2160.0,North West,45.039,7.17382722625479,19.3,2420.4462643578445,1873.8938820834924,0.9974268466175576
E08000001,Bolton,4490,234486,52356,0.22327985466083264,3775.0,North West,30.691,6.462379300810279,18.7,1914.8264715164232,1609.9042160299548,1.0803299894625844
E06000058,"Bournemouth, Christchurch and Poole",4365,334157,88851,0.2658959710555218,5610.0,South West,18.173,6.22212056835194,18.8,1306.2722013903644,1678.8515578006748,0.9428289718876082
E06000036,Bracknell Forest,1140,101434,20882,0.2058678549598754,1330.0,South East,10.241,9.60588349471532,19.1,1123.8835104600037,1311.1974288700042,0.9923491304861705
E08000032,Bradford,5855,421122,87497,0.20777114470391003,7680.0,Yorkshire and The Humber,34.666,5.36504473444216,19.6,1390.3334425653372,1823.6995454998787,0.8254257080609665
E09000005,Brent,5555,277975,42947,0.15449950535120066,4320.0,London,25.558,,17.6,1998.3811493839373,1554.0965914200917,
E06000043,Brighton and Hove,3555,237258,40523,0.1707971912432879,1870.0,South East,20.761,4.95863562240626,19.0,1498.3688642743343,788.1715263552757,1.1479197596570954
E06000023,"Bristol, City of",5510,401694,62286,0.15505832798100047,4145.0,South West,26.363,7.04657496293863,19.1,1371.6908890847262,1031.8799882497622,0.9900847742354433
E09000006,Bromley,3245,261862,59984,0.22906721861132964,2255.0,London,14.163,7.6954694199540405,19.0,1239.202327943726,861.1406007744538,0.8944661946722532
E06000060,Buckinghamshire,5545,448306,110535,0.24656150040374208,5235.0,South East,10.052,6.688988892272859,19.0,1236.8783821764598,1167.7291849763333,1.0390296452367431
E08000002,Bury,2520,154153,36500,0.23677774678403923,3580.0,North West,23.682,7.1457978681052206,19.1,1634.7395120432298,2322.3680369503027,1.0293401452875939
E08000033,Calderdale,2450,165799,41290,0.24903648393536754,1275.0,Yorkshire and The Humber,26.351,4.93637410584755,19.7,1477.6928690764119,769.0034318662958,0.9664163638996515
E10000003,Cambridgeshire,6355,567393,134730,0.2374544627797664,7400.0,East of England,13.858,7.97131884287317,19.1,1120.0349669453096,1304.210661745915,0.8564736903306137
E09000007,Camden,3100,181667,26312,0.14483643149278624,2910.0,London,20.131,13.506846481261231,18.6,1706.418887304794,1601.8319232441775,1.232844023659118
E06000056,Central Bedfordshire,3100,245803,57456,0.23374816418025818,1990.0,East of England,12.152,6.0219637916813,19.5,1261.1725650215824,809.591420771919,1.0015551138296535
E06000049,Cheshire East,4550,338257,94913,0.28059434098924785,2375.0,North West,14.475,6.12636467917073,19.7,1345.131068980095,702.1288546874122,0.945556245830832
E06000050,Cheshire West and Chester,4070,300087,80283,0.26753241559947616,3105.0,North West,18.083,5.70110577243711,19.8,1356.2733473959217,1034.6999370182648,0.9085842387348801
E09000001,City of London,115,14264,1399,0.09807908020190689,65.0,London,14.72,5.6832502387820805,16.1,806.225462703309,455.69265283230516,0.6895835713360778
E06000052,Cornwall,7295,477503,151606,0.3174974816912145,8450.0,South West,23.072,8.36667227658039,19.3,1527.7390927386843,1769.6223898069752,0.9379234209031523
E06000047,County Durham,7520,437579,117738,0.2690668427872453,6455.0,North East,26.793,4.5471179940686595,19.6,1718.5468224023548,1475.1621992828723,0.9558553393044843
E08000026,Coventry,3865,285465,51300,0.17970679417792024,3855.0,West Midlands,25.613,11.17494723361971,19.6,1353.931305063668,1350.4282486469444,0.9795558446738724
E09000008,Croydon,4795,315397,56734,0.17988122905417617,2730.0,London,22.477,11.12524939061685,18.8,1520.3061538315203,865.5757664150261,1.0047768512675328
E06000063,Cumberland,3640,228006,67351,0.2953913493504557,4475.0,North West,21.261,,19.5,1596.4492162486952,1962.6676490969535,
E06000005,Darlington,1335,89718,23797,0.26524220334826903,1475.0,North East,25.657,5.1202220044515006,19.7,1487.9957199224236,1644.0402148955616,0.8491239583750904
E06000015,Derby,3245,212036,44517,0.20995019713633534,2595.0,East Midlands,26.323,7.572141148027001,,1530.4004980286368,1223.848780395782,1.0229654180507977
E10000007,Derbyshire,9060,666222,186020,0.2792162372302326,11495.0,East Midlands,18.392,9.18742957886012,19.3,1359.9070580076911,1725.4008423618554,0.9556611205108624
E10000008,Devon,10660,694149,221728,0.31942421583838626,5500.0,South West,16.607,5.4692306360859995,19.4,1535.693345376857,792.3370918923747,1.0611014484389134
E08000017,Doncaster,3765,251494,62691,0.24927433656468942,6940.0,Yorkshire and The Humber,30.289,,19.5,1497.0536076407388,2759.5091731810703,
E06000059,Dorset,4455,322798,119046,0.3687941065310194,2710.0,South West,15.735,5.50715749579248,18.3,1380.1200750934022,839.5343217739886,0.9059351102409282
E08000027,Dudley,4355,260806,67075,0.2571835003795925,6290.0,West Midlands,24.103,4.30589770393041,19.2,1669.8235470042869,2411.7543308052727,1.123282567183304
E09000009,Ealing,4040,303625,48645,0.16021407986825853,5465.0,London,22.71,12.25017805841431,16.8,1330.588719637711,1799.9176615891313,0.898676372178209
E06000011,East Riding of Yorkshire,5150,292861,96404,0.32918005470171857,5220.0,Yorkshire and The Humber,15.605,4.0985375342567405,19.1,1758.5134244573364,1782.4155486732614,1.256771984265941
E10000011,East Sussex,8285,456454,149415,0.3273385708088876,5090.0,South East,19.77,7.168731628547629,19.4,1815.078846937479,1115.117843199972,1.142238324901482
E09000010,Enfield,4580,247103,48037,0.194400715491111,4180.0,London,25.781,8.69404437099527,18.7,1853.4781042723075,1691.6022873052939,1.1323073192088606
