la_code,la_name,region,lts_rate,observed_expected
E06000027,Torbay,South West,2480.16303169579,1.3649551682706385
E09000013,Hammersmith and Fulham,London,1866.2430135517955,1.3288029644285586
E06000002,Middlesbrough,North East,2841.2861693655427,1.3239265075754312
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,1758.5134244573364,1.256771984265941
E06000007,Warrington,North West,1840.6490339523543,1.2419568526260472
E09000007,Camden,London,1706.418887304794,1.232844023659118
E08000019,Sheffield,Yorkshire and The Humber,1789.9505377358894,1.2192700524778857
E06000041,Wokingham,South East,1299.1287783287112,1.2089025053795384
E09000033,Westminster,London,1681.8196956072868,1.2075233539473085
E06000016,Leicester,East Midlands,1811.2472066804442,1.197519764938477
E06000025,South Gloucestershire,South West,1408.404437911127,1.194608040514147
E06000018,Nottingham,East Midlands,1911.4737977534942,1.1828991005743563
E09000014,Haringey,London,1826.8142072863245,1.1547191187495809
E06000043,Brighton and Hove,South East,1498.3688642743343,1.1479197596570954
E08000022,North Tyneside,North East,1881.2007270117272,1.144021597153284
E10000011,East Sussex,South East,1815.078846937479,1.142238324901482
E08000009,Trafford,North West,1560.0581698211495,1.1402390737974926
E06000008,Blackburn with Darwen,North West,2124.469917837265,1.1332801086969562
E09000010,Enfield,London,1853.4781042723075,1.1323073192088606
E06000034,Thurrock,East of England,1558.8117400792767,1.1308530317095746
E09000030,Tower Hamlets,London,1616.3652799529784,1.123540544681119
E08000027,Dudley,West Midlands,1669.8235470042869,1.123282567183304
E06000057,Northumberland,North East,1991.8197706011074,1.1206209983080595
E09000031,Waltham Forest,London,1665.3383884683956,1.1107898823917057
E06000033,Southend-on-Sea,East of England,1716.5024545985102,1.1100461026119819
E09000028,Southwark,London,1618.6911560425992,1.1093718388719847
E09000012,Hackney,London,1808.8414476376859,1.102503849487729
E08000029,Solihull,West Midlands,1479.5393371431228,1.101431288403404
E10000028,Staffordshire,West Midlands,1474.706731353494,1.1004437073765045
E10000031,Warwickshire,West Midlands,1399.1229378598491,1.0971064518854978
E09000003,Barnet,London,1494.220739783868,1.0896397621974279
E08000001,Bolton,North West,1914.8264715164232,1.0803299894625844
E09000004,Bexley,London,1519.902888068383,1.0741225610605825
E06000026,Plymouth,South West,1659.4378824663338,1.0719606205578363
E08000031,Wolverhampton,West Midlands,1733.6478016970016,1.0695796825607715
E08000013,St. Helens,North West,2006.5717704772799,1.066370568571091
E06000066,Somerset,South West,1585.3011967077912,1.0620345102520408
E10000008,Devon,South West,1535.693345376857,1.0611014484389134
E08000036,Wakefield,Yorkshire and The Humber,1636.8868135844375,1.0606047403259609
E06000038,Reading,South East,1319.9577613516367,1.0554299441816488
E06000046,Isle of Wight,South East,1872.2159768064982,1.0533951202288128
E06000039,Slough,South East,1367.3315488966048,1.0523040673106845
E06000055,Bedford,East of England,1471.8292545168213,1.0485203827179082
E08000014,Sefton,North West,1911.2737073526807,1.047941823688178
E08000007,Stockport,North West,1617.0262615105912,1.0462026053535942
E10000017,Lancashire,North West,1715.0094531127543,1.045159370675355
E08000018,Rotherham,Yorkshire and The Humber,1688.3643365856803,1.0405858664003944
E06000060,Buckinghamshire,South East,1236.8783821764598,1.0390296452367431
E06000003,Redcar and Cleveland,North East,2045.127048483384,1.0313599982700394
E06000024,North Somerset,South West,1428.8250896136901,1.0298461389543803
E08000002,Bury,North West,1634.7395120432298,1.0293401452875939
E06000014,York,Yorkshire and The Humber,1171.6310593951061,1.0281743507836238
