la_code,months,months_outside,share_outside,la_name,status
E10000003,18,18,1.0,Cambridgeshire,persistent
E06000009,18,18,1.0,Blackpool,persistent
E10000013,18,18,1.0,Gloucestershire,persistent
E10000017,18,18,1.0,Lancashire,persistent
E06000002,18,18,1.0,Middlesbrough,persistent
E10000025,18,18,1.0,Oxfordshire,persistent
E08000011,18,18,1.0,Knowsley,persistent
E06000027,18,18,1.0,Torbay,persistent
E10000030,18,13,0.7222222222222222,Surrey,transient
E09000005,18,12,0.6666666666666666,Brent,transient
E06000018,18,12,0.6666666666666666,Nottingham,transient
E06000030,18,12,0.6666666666666666,Swindon,transient
E08000012,18,11,0.6111111111111112,Liverpool,transient
E08000019,18,11,0.6111111111111112,Sheffield,transient
E10000016,18,11,0.6111111111111112,Kent,transient
E06000008,18,9,0.5,Blackburn with Darwen,transient
E10000015,18,8,0.4444444444444444,Hertfordshire,transient
E10000014,18,7,0.3888888888888889,Hampshire,transient
E06000006,18,6,0.3333333333333333,Halton,transient
E08000015,18,6,0.3333333333333333,Wirral,transient
E06000051,18,6,0.3333333333333333,Shropshire,transient
E10000020,18,5,0.2777777777777778,Norfolk,transient
E08000001,18,4,0.2222222222222222,Bolton,transient
E06000057,18,4,0.2222222222222222,Northumberland,transient
E10000011,18,3,0.16666666666666666,East Sussex,transient
E10000012,18,3,0.16666666666666666,Essex,transient
E06000040,18,1,0.05555555555555555,Windsor and Maidenhead,transient
E08000003,18,1,0.05555555555555555,Manchester,transient
E08000028,18,0,0.0,Sandwell,never outside
E09000010,18,0,0.0,Enfield,never outside
E09000009,18,0,0.0,Ealing,never outside
E08000026,18,0,0.0,Coventry,never outside
E09000008,18,0,0.0,Croydon,never outside
E09000007,18,0,0.0,Camden,never outside
E09000006,18,0,0.0,Bromley,never outside
E08000027,18,0,0.0,Dudley,never outside
E09000004,18,0,0.0,Bexley,never outside
E09000003,18,0,0.0,Barnet,never outside
E09000002,18,0,0.0,Barking and Dagenham,never outside
E08000030,18,0,0.0,Walsall,never outside
E09000001,18,0,0.0,City of London,never outside
E09000011,18,0,0.0,Greenwich,never outside
E08000037,18,0,0.0,Gateshead,never outside
E08000036,18,0,0.0,Wakefield,never outside
E08000035,18,0,0.0,Leeds,never outside
E08000034,18,0,0.0,Kirklees,never outside
