la_code,year,turnover_rate,vacancy_rate,agency_rate,caseload,absence_rate,inpost_fte,leavers_fte,la_name,rereferral_rate,repeat_cpp_rate,three_plus_placements_rate,imd_score,children_0_17,region,fte_per_10k_children,agency_rate_lag1,turnover_rate_lag1,caseload_lag1,vacancy_rate_lag1,absence_rate_lag1
E06000001,2017,21.4,6.8,8.4,16.2,3.7,108.8,23.3,Hartlepool,10.0,15.0,,35.037,21090,North East,51.588430535798956,,,,,
E06000001,2018,17.6,3.5,6.8,18.5,2.3,109.7,19.3,Hartlepool,15.6,25.8,,35.037,21090,North East,52.015173067804646,8.4,21.4,16.2,6.8,3.7
E06000001,2019,14.7,1.7,1.7,19.3,2.6,113.4,16.6,Hartlepool,16.5,26.1,,35.037,21090,North East,53.76955903271693,6.8,17.6,18.5,3.5,2.3
E06000001,2020,8.2,3.2,3.2,17.7,2.9,121.9,10.0,Hartlepool,18.0,18.9,,35.037,21090,North East,57.79990516832623,1.7,14.7,19.3,1.7,2.6
E06000001,2021,12.1,1.2,0.8,16.5,3.2,127.7,15.5,Hartlepool,23.1,15.7,6.0,35.037,21090,North East,60.55002370791845,3.2,8.2,17.7,3.2,2.9
E06000001,2022,11.2,3.6,0.7,16.7,1.5,133.1,14.8,Hartlepool,21.4,16.4,5.0,35.037,21090,North East,63.11047889995258,0.8,12.1,16.5,1.2,3.2
E06000001,2023,10.2,0.7,3.5,15.7,4.2,136.9,14.0,Hartlepool,27.7,21.0,7.0,35.037,21090,North East,64.9122807017544,0.7,11.2,16.7,3.6,1.5
E06000001,2024,12.5,2.0,2.0,16.1,2.8,144.7,18.1,Hartlepool,24.9,20.9,11.0,35.037,21090,North East,68.61071597913703,3.5,10.2,15.7,0.7,4.2
E06000001,2025,11.5,1.3,3.2,13.9,3.0,151.4,17.4,Hartlepool,26.5,32.4,9.0,35.037,21090,North East,71.78757705073494,2.0,12.5,16.1,2.0,2.8
E06000002,2017,9.4,4.1,1.2,17.4,1.6999999999999997,164.7,15.5,Middlesbrough,18.7,11.2,,40.46,35617,North East,46.24196310750484,,,,,
E06000002,2018,10.3,5.7,10.3,13.2,4.3,165.8,17.0,Middlesbrough,19.8,10.1,,40.46,35617,North East,46.55080439116153,1.2,9.4,17.4,4.1,1.6999999999999997
E06000002,2019,20.8,4.0,3.2000000000000006,16.8,3.2000000000000006,170.1,35.4,Middlesbrough,23.2,25.2,,40.46,35617,North East,47.75809304545582,10.3,10.3,13.2,5.7,4.3
E06000002,2020,12.7,16.0,23.1,23.5,5.4,173.5,22.0,Middlesbrough,24.3,18.6,,40.46,35617,North East,48.712693376758295,3.2000000000000006,20.8,16.8,4.0,3.2000000000000006
E06000002,2021,15.0,22.7,28.7,17.8,4.6,173.5,26.1,Middlesbrough,20.4,17.4,12.0,40.46,35617,North East,48.712693376758295,23.1,12.7,23.5,16.0,5.4
E06000002,2022,23.2,28.7,34.6,17.0,2.6,158.9,36.8,Middlesbrough,26.1,20.4,13.0,40.46,35617,North East,44.613527248224166,28.7,15.0,17.8,22.7,4.6
E06000002,2023,32.9,29.8,31.4,17.7,5.5,142.1,46.8,Middlesbrough,26.0,30.1,11.0,40.46,35617,North East,39.89667855237667,34.6,23.2,17.0,28.7,2.6
E06000002,2024,23.4,33.6,32.2,16.3,5.3,134.6,31.5,Middlesbrough,25.3,27.8,12.0,40.46,35617,North East,37.790942527444756,31.4,32.9,17.7,29.8,5.5
