la_code,la_name,region,cluster
E08000016,Barnsley,Yorkshire and The Humber,0
E06000022,Bath and North East Somerset,South West,0
E06000008,Blackburn with Darwen,North West,0
E06000009,Blackpool,North West,0
E08000001,Bolton,North West,0
E06000043,Brighton and Hove,South East,0
E06000023,"Bristol, City of",South West,0
E08000033,Calderdale,Yorkshire and The Humber,0
E06000049,Cheshire East,North West,0
E06000050,Cheshire West and Chester,North West,0
E06000052,Cornwall,South West,0
E06000047,County Durham,North East,0
E06000063,Cumberland,North West,0
E06000015,Derby,East Midlands,0
E10000007,Derbyshire,East Midlands,0
E08000017,Doncaster,Yorkshire and The Humber,0
E06000059,Dorset,South West,0
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,0
E10000011,East Sussex,South East,0
E10000012,Essex,East of England,0
E09000011,Greenwich,London,0
E10000014,Hampshire,South East,0
E06000001,Hartlepool,North East,0
E10000015,Hertfordshire,East of England,0
E06000046,Isle of Wight,South East,0
E10000016,Kent,South East,0
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,0
E08000034,Kirklees,Yorkshire and The Humber,0
E08000011,Knowsley,North West,0
E10000017,Lancashire,North West,0
E08000035,Leeds,Yorkshire and The Humber,0
E10000018,Leicestershire,East Midlands,0
E10000019,Lincolnshire,East Midlands,0
E08000012,Liverpool,North West,0
E08000003,Manchester,North West,0
E06000042,Milton Keynes,South East,0
E08000021,Newcastle upon Tyne,North East,0
E10000020,Norfolk,East of England,0
E06000012,North East Lincolnshire,Yorkshire and The Humber,0
E06000013,North Lincolnshire,Yorkshire and The Humber,0
E08000022,North Tyneside,North East,0
E06000065,North Yorkshire,Yorkshire and The Humber,0
E06000057,Northumberland,North East,0
E06000018,Nottingham,East Midlands,0
E10000024,Nottinghamshire,East Midlands,0
E08000004,Oldham,North West,0
E10000025,Oxfordshire,South East,0
E06000026,Plymouth,South West,0
E06000003,Redcar and Cleveland,North East,0
E08000005,Rochdale,North West,0
E08000018,Rotherham,Yorkshire and The Humber,0
E08000006,Salford,North West,0
E08000014,Sefton,North West,0
E08000019,Sheffield,Yorkshire and The Humber,0
E06000051,Shropshire,West Midlands,0
E08000023,South Tyneside,North East,0
E06000045,Southampton,South East,0
E08000013,St. Helens,North West,0
E10000028,Staffordshire,West Midlands,0
E08000007,Stockport,North West,0
E06000004,Stockton-on-Tees,North East,0
E06000021,Stoke-on-Trent,West Midlands,0
E06000020,Telford and Wrekin,West Midlands,0
E06000007,Warrington,North West,0
E10000031,Warwickshire,West Midlands,0
E10000032,West Sussex,South East,0
E06000064,Westmorland and Furness,North West,0
E08000010,Wigan,North West,0
E06000054,Wiltshire,South West,0
E08000015,Wirral,North West,0
E08000031,Wolverhampton,West Midlands,0
E10000034,Worcestershire,West Midlands,0
E06000014,York,Yorkshire and The Humber,0
E09000002,Barking and Dagenham,London,1
E09000003,Barnet,London,1
E06000055,Bedford,East of England,1
E09000004,Bexley,London,1
E06000058,"Bournemouth, Christchurch and Poole",South West,1
E06000036,Bracknell Forest,South East,1
E08000032,Bradford,Yorkshire and The Humber,1
E09000006,Bromley,London,1
E06000060,Buckinghamshire,South East,1
E08000002,Bury,North West,1
E10000003,Cambridgeshire,East of England,1
E09000007,Camden,London,1
E06000056,Central Bedfordshire,East of England,1
E09000001,City of London,London,1
E08000026,Coventry,West Midlands,1
E09000008,Croydon,London,1
E06000005,Darlington,North East,1
E10000008,Devon,South West,1
E08000027,Dudley,West Midlands,1
E09000009,Ealing,London,1
E09000010,Enfield,London,1
E10000013,Gloucestershire,South West,1
E09000012,Hackney,London,1
E06000006,Halton,North West,1
E09000013,Hammersmith and Fulham,London,1
E09000014,Haringey,London,1
E09000015,Harrow,London,1
E09000016,Havering,London,1
E06000019,"Herefordshire, County of",West Midlands,1
E09000017,Hillingdon,London,1
E09000018,Hounslow,London,1
E09000019,Islington,London,1
E09000022,Lambeth,London,1
E06000016,Leicester,East Midlands,1
E09000023,Lewisham,London,1
E06000032,Luton,East of England,1
E06000035,Medway,South East,1
E09000024,Merton,London,1
E06000002,Middlesbrough,North East,1
E09000025,Newham,London,1
E06000024,North Somerset,South West,1
E06000031,Peterborough,East of England,1
E06000038,Reading,South East,1
E09000026,Redbridge,London,1
E06000017,Rutland,East Midlands,1
E08000028,Sandwell,West Midlands,1
E06000039,Slough,South East,1
E08000029,Solihull,West Midlands,1
E06000066,Somerset,South West,1
E06000025,South Gloucestershire,South West,1
E06000033,Southend-on-Sea,East of England,1
E09000028,Southwark,London,1
E10000030,Surrey,South East,1
E06000030,Swindon,South West,1
E08000008,Tameside,North West,1
E06000034,Thurrock,East of England,1
E06000027,Torbay,South West,1
E09000030,Tower Hamlets,London,1
E08000009,Trafford,North West,1
E08000036,Wakefield,Yorkshire and The Humber,1
E08000030,Walsall,West Midlands,1
E09000031,Waltham Forest,London,1
E09000032,Wandsworth,London,1
E06000037,West Berkshire,South East,1
E06000040,Windsor and Maidenhead,South East,1
E06000041,Wokingham,South East,1
